participant_id,trial_index,sequence_a,sequence_b,chose_left,n_a,h_a,alts_a,max_run_a,n_b,h_b,alts_b,max_run_b,p_a,p_alts_a,p_b,p_alts_b
0,0,TTTT,TTTH,0,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
0,1,TTTT,THTH,0,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
0,2,TTTT,HTHH,0,4,0,0,4,4,3,2,2,0.0,0.0,0.75,0.6666666666666666
0,3,TTTT,HHHH,1,4,0,0,4,4,4,0,4,0.0,0.0,1.0,0.0
0,4,TTTT,HTHT,0,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
0,5,TTTT,THHT,1,4,0,0,4,4,2,2,2,0.0,0.0,0.5,0.6666666666666666
0,6,TTTT,TTHH,1,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
0,7,TTTT,HTTT,0,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
0,8,TTTT,TTHT,1,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
0,9,TTTH,THTH,0,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
0,10,TTTH,HTHH,1,4,1,1,3,4,3,2,2,0.25,0.3333333333333333,0.75,0.6666666666666666
0,11,TTTH,HHHH,1,4,1,1,3,4,4,0,4,0.25,0.3333333333333333,1.0,0.0
0,12,TTTH,HTHT,1,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
0,13,TTTH,THHT,0,4,1,1,3,4,2,2,2,0.25,0.3333333333333333,0.5,0.6666666666666666
0,14,TTTH,TTHH,1,4,1,1,3,4,2,1,2,0.25,0.3333333333333333,0.5,0.3333333333333333
0,15,TTTH,HTTT,0,4,1,1,3,4,1,1,3,0.25,0.3333333333333333,0.25,0.3333333333333333
0,16,TTTH,TTHT,1,4,1,1,3,4,1,2,2,0.25,0.3333333333333333,0.25,0.6666666666666666
0,17,THTH,HTHH,0,4,2,3,1,4,3,2,2,0.5,1.0,0.75,0.6666666666666666
0,18,THTH,HHHH,0,4,2,3,1,4,4,0,4,0.5,1.0,1.0,0.0
0,19,THTH,HTHT,0,4,2,3,1,4,2,3,1,0.5,1.0,0.5,1.0
0,20,THTH,THHT,1,4,2,3,1,4,2,2,2,0.5,1.0,0.5,0.6666666666666666
0,21,THTH,TTHH,1,4,2,3,1,4,2,1,2,0.5,1.0,0.5,0.3333333333333333
0,22,THTH,HTTT,1,4,2,3,1,4,1,1,3,0.5,1.0,0.25,0.3333333333333333
0,23,THTH,TTHT,0,4,2,3,1,4,1,2,2,0.5,1.0,0.25,0.6666666666666666
0,24,HTHH,HHHH,0,4,3,2,2,4,4,0,4,0.75,0.6666666666666666,1.0,0.0
0,25,HTHH,HTHT,1,4,3,2,2,4,2,3,1,0.75,0.6666666666666666,0.5,1.0
0,26,HTHH,THHT,1,4,3,2,2,4,2,2,2,0.75,0.6666666666666666,0.5,0.6666666666666666
0,27,HTHH,TTHH,1,4,3,2,2,4,2,1,2,0.75,0.6666666666666666,0.5,0.3333333333333333
0,28,HTHH,HTTT,0,4,3,2,2,4,1,1,3,0.75,0.6666666666666666,0.25,0.3333333333333333
0,29,HTHH,TTHT,1,4,3,2,2,4,1,2,2,0.75,0.6666666666666666,0.25,0.6666666666666666
1,0,TTTT,TTTH,1,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
1,1,TTTT,THTH,1,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
1,2,TTTT,HTHH,0,4,0,0,4,4,3,2,2,0.0,0.0,0.75,0.6666666666666666
1,3,TTTT,HHHH,0,4,0,0,4,4,4,0,4,0.0,0.0,1.0,0.0
1,4,TTTT,HTHT,1,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
1,5,TTTT,THHT,1,4,0,0,4,4,2,2,2,0.0,0.0,0.5,0.6666666666666666
1,6,TTTT,TTHH,0,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
1,7,TTTT,HTTT,0,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
1,8,TTTT,TTHT,0,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
1,9,TTTH,THTH,1,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
1,10,TTTH,HTHH,0,4,1,1,3,4,3,2,2,0.25,0.3333333333333333,0.75,0.6666666666666666
1,11,TTTH,HHHH,1,4,1,1,3,4,4,0,4,0.25,0.3333333333333333,1.0,0.0
1,12,TTTH,HTHT,1,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
1,13,TTTH,THHT,0,4,1,1,3,4,2,2,2,0.25,0.3333333333333333,0.5,0.6666666666666666
1,14,TTTH,TTHH,1,4,1,1,3,4,2,1,2,0.25,0.3333333333333333,0.5,0.3333333333333333
1,15,TTTH,HTTT,0,4,1,1,3,4,1,1,3,0.25,0.3333333333333333,0.25,0.3333333333333333
1,16,TTTH,TTHT,0,4,1,1,3,4,1,2,2,0.25,0.3333333333333333,0.25,0.6666666666666666
1,17,THTH,HTHH,0,4,2,3,1,4,3,2,2,0.5,1.0,0.75,0.6666666666666666
1,18,THTH,HHHH,1,4,2,3,1,4,4,0,4,0.5,1.0,1.0,0.0
1,19,THTH,HTHT,0,4,2,3,1,4,2,3,1,0.5,1.0,0.5,1.0
1,20,THTH,THHT,1,4,2,3,1,4,2,2,2,0.5,1.0,0.5,0.6666666666666666
1,21,THTH,TTHH,0,4,2,3,1,4,2,1,2,0.5,1.0,0.5,0.3333333333333333
1,22,THTH,HTTT,1,4,2,3,1,4,1,1,3,0.5,1.0,0.25,0.3333333333333333
1,23,THTH,TTHT,0,4,2,3,1,4,1,2,2,0.5,1.0,0.25,0.6666666666666666
1,24,HTHH,HHHH,1,4,3,2,2,4,4,0,4,0.75,0.6666666666666666,1.0,0.0
1,25,HTHH,HTHT,0,4,3,2,2,4,2,3,1,0.75,0.6666666666666666,0.5,1.0
1,26,HTHH,THHT,0,4,3,2,2,4,2,2,2,0.75,0.6666666666666666,0.5,0.6666666666666666
1,27,HTHH,TTHH,0,4,3,2,2,4,2,1,2,0.75,0.6666666666666666,0.5,0.3333333333333333
1,28,HTHH,HTTT,1,4,3,2,2,4,1,1,3,0.75,0.6666666666666666,0.25,0.3333333333333333
1,29,HTHH,TTHT,0,4,3,2,2,4,1,2,2,0.75,0.6666666666666666,0.25,0.6666666666666666
2,0,TTTT,TTTH,1,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
2,1,TTTT,THTH,0,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
2,2,TTTT,HTHH,0,4,0,0,4,4,3,2,2,0.0,0.0,0.75,0.6666666666666666
2,3,TTTT,HHHH,0,4,0,0,4,4,4,0,4,0.0,0.0,1.0,0.0
2,4,TTTT,HTHT,0,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
2,5,TTTT,THHT,1,4,0,0,4,4,2,2,2,0.0,0.0,0.5,0.6666666666666666
2,6,TTTT,TTHH,0,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
2,7,TTTT,HTTT,0,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
2,8,TTTT,TTHT,0,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
2,9,TTTH,THTH,0,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
2,10,TTTH,HTHH,0,4,1,1,3,4,3,2,2,0.25,0.3333333333333333,0.75,0.6666666666666666
2,11,TTTH,HHHH,1,4,1,1,3,4,4,0,4,0.25,0.3333333333333333,1.0,0.0
2,12,TTTH,HTHT,0,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
2,13,TTTH,THHT,0,4,1,1,3,4,2,2,2,0.25,0.3333333333333333,0.5,0.6666666666666666
2,14,TTTH,TTHH,1,4,1,1,3,4,2,1,2,0.25,0.3333333333333333,0.5,0.3333333333333333
2,15,TTTH,HTTT,0,4,1,1,3,4,1,1,3,0.25,0.3333333333333333,0.25,0.3333333333333333
2,16,TTTH,TTHT,1,4,1,1,3,4,1,2,2,0.25,0.3333333333333333,0.25,0.6666666666666666
2,17,THTH,HTHH,0,4,2,3,1,4,3,2,2,0.5,1.0,0.75,0.6666666666666666
2,18,THTH,HHHH,1,4,2,3,1,4,4,0,4,0.5,1.0,1.0,0.0
2,19,THTH,HTHT,0,4,2,3,1,4,2,3,1,0.5,1.0,0.5,1.0
2,20,THTH,THHT,1,4,2,3,1,4,2,2,2,0.5,1.0,0.5,0.6666666666666666
2,21,THTH,TTHH,1,4,2,3,1,4,2,1,2,0.5,1.0,0.5,0.3333333333333333
2,22,THTH,HTTT,1,4,2,3,1,4,1,1,3,0.5,1.0,0.25,0.3333333333333333
2,23,THTH,TTHT,0,4,2,3,1,4,1,2,2,0.5,1.0,0.25,0.6666666666666666
2,24,HTHH,HHHH,1,4,3,2,2,4,4,0,4,0.75,0.6666666666666666,1.0,0.0
2,25,HTHH,HTHT,1,4,3,2,2,4,2,3,1,0.75,0.6666666666666666,0.5,1.0
2,26,HTHH,THHT,1,4,3,2,2,4,2,2,2,0.75,0.6666666666666666,0.5,0.6666666666666666
2,27,HTHH,TTHH,0,4,3,2,2,4,2,1,2,0.75,0.6666666666666666,0.5,0.3333333333333333
2,28,HTHH,HTTT,0,4,3,2,2,4,1,1,3,0.75,0.6666666666666666,0.25,0.3333333333333333
2,29,HTHH,TTHT,0,4,3,2,2,4,1,2,2,0.75,0.6666666666666666,0.25,0.6666666666666666
3,0,TTTT,TTTH,1,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
3,1,TTTT,THTH,0,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
3,2,TTTT,HTHH,0,4,0,0,4,4,3,2,2,0.0,0.0,0.75,0.6666666666666666
3,3,TTTT,HHHH,0,4,0,0,4,4,4,0,4,0.0,0.0,1.0,0.0
3,4,TTTT,HTHT,0,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
3,5,TTTT,THHT,1,4,0,0,4,4,2,2,2,0.0,0.0,0.5,0.6666666666666666
3,6,TTTT,TTHH,1,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
3,7,TTTT,HTTT,0,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
3,8,TTTT,TTHT,0,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
3,9,TTTH,THTH,0,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
3,10,TTTH,HTHH,0,4,1,1,3,4,3,2,2,0.25,0.3333333333333333,0.75,0.6666666666666666
3,11,TTTH,HHHH,1,4,1,1,3,4,4,0,4,0.25,0.3333333333333333,1.0,0.0
3,12,TTTH,HTHT,0,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
3,13,TTTH,THHT,1,4,1,1,3,4,2,2,2,0.25,0.3333333333333333,0.5,0.6666666666666666
3,14,TTTH,TTHH,0,4,1,1,3,4,2,1,2,0.25,0.3333333333333333,0.5,0.3333333333333333
3,15,TTTH,HTTT,1,4,1,1,3,4,1,1,3,0.25,0.3333333333333333,0.25,0.3333333333333333
3,16,TTTH,TTHT,0,4,1,1,3,4,1,2,2,0.25,0.3333333333333333,0.25,0.6666666666666666
3,17,THTH,HTHH,0,4,2,3,1,4,3,2,2,0.5,1.0,0.75,0.6666666666666666
3,18,THTH,HHHH,1,4,2,3,1,4,4,0,4,0.5,1.0,1.0,0.0
3,19,THTH,HTHT,1,4,2,3,1,4,2,3,1,0.5,1.0,0.5,1.0
3,20,THTH,THHT,1,4,2,3,1,4,2,2,2,0.5,1.0,0.5,0.6666666666666666
3,21,THTH,TTHH,0,4,2,3,1,4,2,1,2,0.5,1.0,0.5,0.3333333333333333
3,22,THTH,HTTT,0,4,2,3,1,4,1,1,3,0.5,1.0,0.25,0.3333333333333333
3,23,THTH,TTHT,1,4,2,3,1,4,1,2,2,0.5,1.0,0.25,0.6666666666666666
3,24,HTHH,HHHH,1,4,3,2,2,4,4,0,4,0.75,0.6666666666666666,1.0,0.0
3,25,HTHH,HTHT,1,4,3,2,2,4,2,3,1,0.75,0.6666666666666666,0.5,1.0
3,26,HTHH,THHT,0,4,3,2,2,4,2,2,2,0.75,0.6666666666666666,0.5,0.6666666666666666
3,27,HTHH,TTHH,1,4,3,2,2,4,2,1,2,0.75,0.6666666666666666,0.5,0.3333333333333333
3,28,HTHH,HTTT,0,4,3,2,2,4,1,1,3,0.75,0.6666666666666666,0.25,0.3333333333333333
3,29,HTHH,TTHT,1,4,3,2,2,4,1,2,2,0.75,0.6666666666666666,0.25,0.6666666666666666
4,0,TTTT,TTTH,1,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
4,1,TTTT,THTH,1,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
4,2,TTTT,HTHH,0,4,0,0,4,4,3,2,2,0.0,0.0,0.75,0.6666666666666666
4,3,TTTT,HHHH,0,4,0,0,4,4,4,0,4,0.0,0.0,1.0,0.0
4,4,TTTT,HTHT,0,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
4,5,TTTT,THHT,1,4,0,0,4,4,2,2,2,0.0,0.0,0.5,0.6666666666666666
4,6,TTTT,TTHH,0,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
4,7,TTTT,HTTT,1,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
4,8,TTTT,TTHT,0,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
4,9,TTTH,THTH,1,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
4,10,TTTH,HTHH,1,4,1,1,3,4,3,2,2,0.25,0.3333333333333333,0.75,0.6666666666666666
4,11,TTTH,HHHH,0,4,1,1,3,4,4,0,4,0.25,0.3333333333333333,1.0,0.0
4,12,TTTH,HTHT,0,4,1,1,3,4,2,3,1,0.25,0.3333333333333333,0.5,1.0
4,13,TTTH,THHT,0,4,1,1,3,4,2,2,2,0.25,0.3333333333333333,0.5,0.6666666666666666
4,14,TTTH,TTHH,0,4,1,1,3,4,2,1,2,0.25,0.3333333333333333,0.5,0.3333333333333333
4,15,TTTH,HTTT,0,4,1,1,3,4,1,1,3,0.25,0.3333333333333333,0.25,0.3333333333333333
4,16,TTTH,TTHT,1,4,1,1,3,4,1,2,2,0.25,0.3333333333333333,0.25,0.6666666666666666
4,17,THTH,HTHH,0,4,2,3,1,4,3,2,2,0.5,1.0,0.75,0.6666666666666666
4,18,THTH,HHHH,1,4,2,3,1,4,4,0,4,0.5,1.0,1.0,0.0
4,19,THTH,HTHT,0,4,2,3,1,4,2,3,1,0.5,1.0,0.5,1.0
4,20,THTH,THHT,1,4,2,3,1,4,2,2,2,0.5,1.0,0.5,0.6666666666666666
4,21,THTH,TTHH,1,4,2,3,1,4,2,1,2,0.5,1.0,0.5,0.3333333333333333
4,22,THTH,HTTT,1,4,2,3,1,4,1,1,3,0.5,1.0,0.25,0.3333333333333333
4,23,THTH,TTHT,0,4,2,3,1,4,1,2,2,0.5,1.0,0.25,0.6666666666666666
4,24,HTHH,HHHH,1,4,3,2,2,4,4,0,4,0.75,0.6666666666666666,1.0,0.0
4,25,HTHH,HTHT,0,4,3,2,2,4,2,3,1,0.75,0.6666666666666666,0.5,1.0
4,26,HTHH,THHT,0,4,3,2,2,4,2,2,2,0.75,0.6666666666666666,0.5,0.6666666666666666
4,27,HTHH,TTHH,0,4,3,2,2,4,2,1,2,0.75,0.6666666666666666,0.5,0.3333333333333333
4,28,HTHH,HTTT,1,4,3,2,2,4,1,1,3,0.75,0.6666666666666666,0.25,0.3333333333333333
4,29,HTHH,TTHT,0,4,3,2,2,4,1,2,2,0.75,0.6666666666666666,0.25,0.6666666666666666
