sequence_a,sequence_b,chose_left_pct,n
THTH,HHHH,0.8000,5
THTH,HHHT,0.6000,5
THTH,HHTH,0.6000,5
THTH,HHTT,0.6000,5
THTH,HTTH,0.6000,5
THTH,THHH,0.6000,5
THTH,TTHH,0.6000,5
THTH,TTHT,0.0000,5
THTH,TTTH,0.2000,5
THTT,HHHH,1.0000,5
THTT,HHHT,0.8000,5
THTT,HHTH,0.8000,5
THTT,HHTT,0.6000,5
THTT,HTTH,0.6000,5
THTT,THHH,0.6000,5
THTT,THTH,0.2000,5
THTT,TTHH,0.6000,5
THTT,TTHT,0.8000,5
THTT,TTTH,0.8000,5
TTTT,HHHH,0.2000,5
TTTT,HHHT,0.2000,5
TTTT,HHTH,0.0000,5
TTTT,HHTT,0.6000,5
TTTT,HTTH,0.6000,5
TTTT,THHH,0.6000,5
TTTT,THTH,0.2000,5
TTTT,THTT,0.2000,5
TTTT,TTHH,0.4000,5
TTTT,TTHT,0.6000,5
TTTT,TTTH,0.0000,5
