sequence_a,sequence_b,chose_left_pct,n
HTTH,HHHH,0.8000,5
HTTH,HHHT,0.4000,5
HTTH,HHTT,1.0000,5
HTTH,THTH,0.2000,5
HTTH,TTHT,0.6000,5
THTH,HHHH,0.8000,5
THTH,HHHT,0.6000,5
THTH,HHTH,0.6000,5
THTH,HHTT,0.6000,5
THTH,HTTH,0.6000,5
THTH,THHH,0.6000,5
THTH,TTHH,0.6000,5
THTH,TTHT,0.0000,5
THTH,TTTH,0.2000,5
THTT,HHHH,0.9000,10
THTT,HHHT,0.7000,10
THTT,HHTH,0.6000,10
THTT,HHTT,0.5000,10
THTT,HTHH,0.4000,5
THTT,HTTH,0.5000,10
THTT,THHH,0.6000,10
THTT,THHT,0.4000,5
THTT,THTH,0.3000,10
THTT,TTHH,0.8000,10
THTT,TTHT,0.7000,10
THTT,TTTH,0.7000,10
TTTT,HHHH,0.2000,10
TTTT,HHHT,0.2000,10
TTTT,HHTH,0.1000,10
TTTT,HHTT,0.3000,10
TTTT,HTHH,0.2000,5
TTTT,HTTH,0.5000,10
TTTT,THHH,0.4000,10
TTTT,THHT,0.2000,5
TTTT,THTH,0.2000,10
TTTT,THTT,0.4000,10
TTTT,TTHH,0.5000,10
TTTT,TTHT,0.5000,10
TTTT,TTTH,0.2000,10
