model,parameter,repeat,true_value,estimate,error
encoding_compressibility,longrun_weight,0,0.810735,0.856961,0.04622599999999999
encoding_compressibility,periodic_share,0,0.547187,0.364865,-0.18232199999999998
encoding_compressibility,beta,0,7.525738,5.798878,-1.7268599999999994
encoding_compressibility,side_bias,0,0.755911,0.763588,0.007677000000000045
encoding_compressibility,longrun_weight,1,0.033756,0.081724,0.047968000000000004
encoding_compressibility,periodic_share,1,0.327581,0.334165,0.006583999999999979
encoding_compressibility,beta,1,10.115851,10.627609,0.5117580000000004
encoding_compressibility,side_bias,1,0.905182,0.770857,-0.13432500000000003
encoding_compressibility,longrun_weight,2,0.200444,0.191539,-0.008905000000000024
encoding_compressibility,periodic_share,2,0.753842,0.835002,0.08116000000000001
encoding_compressibility,beta,2,3.343659,3.10092,-0.24273900000000026
encoding_compressibility,side_bias,2,-0.522722,-0.768993,-0.24627100000000002
encoding_compressibility,longrun_weight,3,0.582662,0.597714,0.015051999999999954
encoding_compressibility,periodic_share,3,0.415212,0.460051,0.04483899999999996
encoding_compressibility,beta,3,8.414415,8.125877,-0.28853800000000085
encoding_compressibility,side_bias,3,1.897288,1.699193,-0.19809500000000013
encoding_compressibility,longrun_weight,4,0.102548,0.130956,0.02840799999999999
encoding_compressibility,periodic_share,4,0.851089,0.77631,-0.07477900000000004
encoding_compressibility,beta,4,5.55979,5.703871,0.1440810000000008
encoding_compressibility,side_bias,4,0.749476,0.526516,-0.22296000000000005
encoding_compressibility,longrun_weight,5,0.427528,0.437449,0.009920999999999958
encoding_compressibility,periodic_share,5,0.532295,0.639708,0.10741300000000009
encoding_compressibility,beta,5,9.323176,7.309054,-2.0141220000000004
encoding_compressibility,side_bias,5,-0.034134,0.038475,0.072609
encoding_compressibility,longrun_weight,6,0.194997,0.218678,0.023681000000000008
encoding_compressibility,periodic_share,6,0.148893,0.209502,0.060608999999999996
encoding_compressibility,beta,6,8.655825,6.951406,-1.7044189999999997
encoding_compressibility,side_bias,6,0.13061,0.055419,-0.07519100000000001
encoding_compressibility,longrun_weight,7,0.616915,0.562079,-0.054835999999999996
encoding_compressibility,periodic_share,7,0.735918,0.592857,-0.143061
encoding_compressibility,beta,7,4.550082,6.196431,1.6463489999999998
encoding_compressibility,side_bias,7,0.94322,1.030301,0.08708099999999996
encoding_compressibility,longrun_weight,8,0.825677,0.562327,-0.26335
encoding_compressibility,periodic_share,8,0.663123,0.526967,-0.13615600000000005
encoding_compressibility,beta,8,0.304046,0.811507,0.5074609999999999
encoding_compressibility,side_bias,8,1.343311,1.331108,-0.012202999999999964
encoding_compressibility,longrun_weight,9,0.512711,0.627248,0.114537
encoding_compressibility,periodic_share,9,0.089362,0.222663,0.133301
encoding_compressibility,beta,9,4.970122,3.225324,-1.7447979999999998
encoding_compressibility,side_bias,9,0.317881,0.302245,-0.01563600000000004
encoding_compressibility,longrun_weight,10,0.142931,0.126578,-0.016353000000000006
encoding_compressibility,periodic_share,10,0.03348,0.065088,0.03160799999999999
encoding_compressibility,beta,10,7.989838,6.435423,-1.5544149999999997
encoding_compressibility,side_bias,10,-1.786798,-1.693729,0.09306900000000007
encoding_compressibility,longrun_weight,11,0.640538,0.574904,-0.06563400000000008
encoding_compressibility,periodic_share,11,0.949967,0.772294,-0.17767299999999997
