participant_id,trial_index,sequence_a,sequence_b,chose_left,n_a,h_a,alts_a,max_run_a,n_b,h_b,alts_b,max_run_b,p_a,p_alts_a,p_b,p_alts_b
0,0,TTTT,THTT,0,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
0,1,TTTT,THTH,0,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
0,2,TTTT,THHH,0,4,0,0,4,4,3,1,3,0.0,0.0,0.75,0.3333333333333333
0,3,TTTT,HHHH,1,4,0,0,4,4,4,0,4,0.0,0.0,1.0,0.0
0,4,TTTT,HHTH,0,4,0,0,4,4,3,2,2,0.0,0.0,0.75,0.6666666666666666
0,5,TTTT,HTTH,1,4,0,0,4,4,2,2,2,0.0,0.0,0.5,0.6666666666666666
0,6,TTTT,TTTH,0,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
0,7,TTTT,HHTT,0,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
0,8,TTTT,TTHT,0,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
0,9,TTTT,HHHT,0,4,0,0,4,4,3,1,3,0.0,0.0,0.75,0.3333333333333333
0,10,TTTT,TTHH,0,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
0,11,THTT,THTH,0,4,1,2,2,4,2,3,1,0.25,0.6666666666666666,0.5,1.0
0,12,THTT,THHH,1,4,1,2,2,4,3,1,3,0.25,0.6666666666666666,0.75,0.3333333333333333
0,13,THTT,HHHH,1,4,1,2,2,4,4,0,4,0.25,0.6666666666666666,1.0,0.0
0,14,THTT,HHTH,1,4,1,2,2,4,3,2,2,0.25,0.6666666666666666,0.75,0.6666666666666666
0,15,THTT,HTTH,1,4,1,2,2,4,2,2,2,0.25,0.6666666666666666,0.5,0.6666666666666666
0,16,THTT,TTTH,1,4,1,2,2,4,1,1,3,0.25,0.6666666666666666,0.25,0.3333333333333333
0,17,THTT,HHTT,1,4,1,2,2,4,2,1,2,0.25,0.6666666666666666,0.5,0.3333333333333333
0,18,THTT,TTHT,1,4,1,2,2,4,1,2,2,0.25,0.6666666666666666,0.25,0.6666666666666666
0,19,THTT,HHHT,1,4,1,2,2,4,3,1,3,0.25,0.6666666666666666,0.75,0.3333333333333333
0,20,THTT,TTHH,0,4,1,2,2,4,2,1,2,0.25,0.6666666666666666,0.5,0.3333333333333333
0,21,THTH,THHH,1,4,2,3,1,4,3,1,3,0.5,1.0,0.75,0.3333333333333333
0,22,THTH,HHHH,1,4,2,3,1,4,4,0,4,0.5,1.0,1.0,0.0
0,23,THTH,HHTH,1,4,2,3,1,4,3,2,2,0.5,1.0,0.75,0.6666666666666666
0,24,THTH,HTTH,0,4,2,3,1,4,2,2,2,0.5,1.0,0.5,0.6666666666666666
0,25,THTH,TTTH,0,4,2,3,1,4,1,1,3,0.5,1.0,0.25,0.3333333333333333
0,26,THTH,HHTT,0,4,2,3,1,4,2,1,2,0.5,1.0,0.5,0.3333333333333333
0,27,THTH,TTHT,0,4,2,3,1,4,1,2,2,0.5,1.0,0.25,0.6666666666666666
0,28,THTH,HHHT,1,4,2,3,1,4,3,1,3,0.5,1.0,0.75,0.3333333333333333
0,29,THTH,TTHH,1,4,2,3,1,4,2,1,2,0.5,1.0,0.5,0.3333333333333333
1,0,TTTT,THTT,1,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
1,1,TTTT,THTH,1,4,0,0,4,4,2,3,1,0.0,0.0,0.5,1.0
1,2,TTTT,THHH,0,4,0,0,4,4,3,1,3,0.0,0.0,0.75,0.3333333333333333
1,3,TTTT,HHHH,0,4,0,0,4,4,4,0,4,0.0,0.0,1.0,0.0
1,4,TTTT,HHTH,0,4,0,0,4,4,3,2,2,0.0,0.0,0.75,0.6666666666666666
1,5,TTTT,HTTH,1,4,0,0,4,4,2,2,2,0.0,0.0,0.5,0.6666666666666666
1,6,TTTT,TTTH,0,4,0,0,4,4,1,1,3,0.0,0.0,0.25,0.3333333333333333
1,7,TTTT,HHTT,1,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
1,8,TTTT,TTHT,1,4,0,0,4,4,1,2,2,0.0,0.0,0.25,0.6666666666666666
1,9,TTTT,HHHT,1,4,0,0,4,4,3,1,3,0.0,0.0,0.75,0.3333333333333333
1,10,TTTT,TTHH,0,4,0,0,4,4,2,1,2,0.0,0.0,0.5,0.3333333333333333
1,11,THTT,THTH,1,4,1,2,2,4,2,3,1,0.25,0.6666666666666666,0.5,1.0
1,12,THTT,THHH,0,4,1,2,2,4,3,1,3,0.25,0.6666666666666666,0.75,0.3333333333333333
1,13,THTT,HHHH,1,4,1,2,2,4,4,0,4,0.25,0.6666666666666666,1.0,0.0
1,14,THTT,HHTH,1,4,1,2,2,4,3,2,2,0.25,0.6666666666666666,0.75,0.6666666666666666
1,15,THTT,HTTH,1,4,1,2,2,4,2,2,2,0.25,0.6666666666666666,0.5,0.6666666666666666
1,16,THTT,TTTH,1,4,1,2,2,4,1,1,3,0.25,0.6666666666666666,0.25,0.3333333333333333
1,17,THTT,HHTT,1,4,1,2,2,4,2,1,2,0.25,0.6666666666666666,0.5,0.3333333333333333
1,18,THTT,TTHT,1,4,1,2,2,4,1,2,2,0.25,0.6666666666666666,0.25,0.6666666666666666
1,19,THTT,HHHT,1,4,1,2,2,4,3,1,3,0.25,0.6666666666666666,0.75,0.3333333333333333
1,20,THTT,TTHH,1,4,1,2,2,4,2,1,2,0.25,0.6666666666666666,0.5,0.3333333333333333
1,21,THTH,THHH,1,4,2,3,1,4,3,1,3,0.5,1.0,0.75,0.3333333333333333
1,22,THTH,HHHH,0,4,2,3,1,4,4,0,4,0.5,1.0,1.0,0.0
1,23,THTH,HHTH,0,4,2,3,1,4,3,2,2,0.5,1.0,0.75,0.6666666666666666
